#,Name,Rating,Date,Age
6,"Korchnoi, Viktor",2640,1972 Jul,41
7,"Botvinnik, Mikhail",2630,1972 Jul,60
8,"Karpov, Anatoly",2630,1972 Jul,21
9,"Larsen, Bent",2625,1972 Jul,37
10,"Tal, Mikhail",2625,1972 Jul,35
1,"Fischer, Robert James",2760,1971 Jul,28
2,"Spassky, Boris",2690,1971 Jul,34
3,"Korchnoi, Viktor",2670,1971 Jul,40
4,"Larsen, Bent",2660,1971 Jul,36
5,"Petrosian, Tigran",2640,1971 Jul,42
6,"Polugaevsky, Lev",2640,1971 Jul,36
7,"Portisch, Lajos",2630,1971 Jul,34
8,"Botvinnik, Mikhail",2630,1971 Jul,59
9,"Smyslov, Vassily",2620,1971 Jul,50
10,"Tal, Mikhail",2620,1971 Jul,34
